supplier_id,company_name,company_description,iec_code,deal_in,year_established,city,state_name,location,total_reviews,total_products,catalog_listed_products,industry_category,is_star_exporter,logo_url
a1b15d54-569d-4e11-bb61-4595aa60f510,EXOTIC INDIA ART PRIVATE LIMITED,"Launched in 1998, Exotic India was founded by a team with a passion for Indian culture, and a goal to bring together people who love India.

Our passion comes from a desire to share with the world the beauty of India and its unique offerings from all over the country. As lovers of Indian culture ourselves, we recognize the importance of offering a selection that properly represents the diverse regions of India.

And so, we created Exotic India to celebrate India and endeavor to bring all that we love about the country to customers around the globe. We strive to offer products that come from original Indian designs, knowledge, care and skill, with a commitment to sourcing top quality products, unique designs and craftsmanship available.

Today, Exotic India is a dedicated team of 125 people, led by MBAs and Engineers from top Indian Schools. To date, we have shipped to 161 of the 195 countries across the world including far and close places like Belize, Bermuda, and more.

Whether you're just discovering the wonders of India or if you have been a longtime fan of her culture and traditions, at Exotic India we are proud to offer a place for all to discover the true joys and values of India. Welcome!",0513054448,Goods,2012,North West Delhi,Delhi,"North West Delhi, Delhi, India",0,1429,263,Handicrafts,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F856849525-LinkedIn%20Hero%20Image%403x-100.jpg
02b82935-f296-4278-a158-0aeed85b4718,NAVRATAN CARPETS PRIVATE LIMITED,"Navratan Carpets Pvt. Ltd., based in Gwalior, has emerged as one of the prominent companies dedicated to preserving and promoting the city’s rich heritage of hand-knotted carpet weaving. Rooted in generations of craftsmanship, the company specializes in manufacturing handmade woollen and art silk carpets using intricate knotting techniques inspired by Persian artistry and the royal traditions of Gwalior.

The company’s work reflects the highly skilled and labor-intensive weaving process — from yarn dyeing and loom preparation to detailed hand-knotting carried out by experienced artisans. By blending traditional craftsmanship with modern digital outreach, online storytelling, and global market engagement, Navratan Carpets is helping revive international recognition for Gwalior’s centuries-old carpet weaving tradition while also creating sustainable livelihood opportunities for local weaving families.",AAFCN7166E,Goods,2017,Gwalior,Madhya Pradesh,"Gwalior, Madhya Pradesh, India",0,207,205,Textile & Apparel Products,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260613T093250Z-167479-42d784e4-navratan-cropped.png
3296ad69-72cf-49fb-816b-2c628a76fab0,KRISH EXPORTS,"Krish Exports began its journey with a vision to deliver premium steel household goods. From humble local roots to a global presence since 1998, we now offer an extensive
range of stainless steel, plastic, aluminium, and non-stick items. With a 30-year legacy and two trusted entities — Krish Exports and Krish Cookware LLP — we operate from a state-of-the-art 180,000 sq. ft. facility in Palghar, India. Equipped with advanced auto-coating lines and induction press conveyor systems, we produce over 2.5 million units annually and export to more than 65 countries. As a family-led enterprise, we value trust, quality, and
innovation. Our portfolio includes cookware, kitchenware, mixer grinders, and home appliances — blending style, functionality, and value to meet every
customer’s need.",0398034371,Goods,1998,Mumbai,Maharashtra,"Mumbai, Maharashtra, India",0,104,93,Others (Goods),0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260713T084818Z-947292-6daf664c-krishlogoc%20-%20Copy-cropped.png
3b9423a1-20bf-459a-92d9-496f462e6405,JFS GLOBAL TRADE,"JFS GLOBAL TRADE is an India-based exporter specializing in sustainable and handmade products. Our journey began with a passion for natural materials, handcrafted artistry, and the desire to contribute to a greener planet. Established in 2021, our company was founded with a vision to promote the exceptional craftsmanship of Indian artisans and provide sustainable alternatives to global markets. 

We connected with local craftsmen and self-help groups across India to uplift their communities and bring their handmade products to global buyers. 

Our product range includes women’s handbags, clutches, cross-body bags, jute bags, shopping bags, and various handcrafted items. We offer both standard and customized specifications to meet the diverse needs of our international clients.

With the trust of our clients and dedication of our artisans, we are confident that our growth will continue for years ahead.",AASPF0190J,Goods,2021,Delhi,Delhi,"Delhi, Delhi, India",0,57,57,Handicrafts,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260518T144350Z-943820-c1313dc3-JFS%20Global%20Trade%20-%20Facebook%20Logo-cropped.png
a2a34910-e633-4609-bdb3-5e5adbd65a78,KEERTHI NIRMAL TRADELINKS PRIVATE LIMITED,"Keerthi Nirmal (Keerthi Agro Mills Pvt. Ltd.) is a leading agriculture and processed food company founded in 1998, based in Ernakulam, Kerala, India. With four mills, 700+ employees, and a daily production capacity of over 400 tonnes, the company has an annual turnover exceeding ₹500 crores. We manufacture and distribute 15+ varieties of rice along with jaggery, sugar, salt, coconut oil, and other processed food products. From a Kerala household staple, we have evolved into a major supplier in the pan-Indian and global markets, with a strong export presence over 15+ countries. Our vision is rooted in sustainable agriculture that preserves healthy soil for generations to come.",AAICK4917D,Goods,2020,Ernakulam,Kerala,"Ernakulam, Kerala, India",0,47,47,Food Products,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260520T123910Z-452998-813d3e5d-Keerthi-Nirmal-Logo-cropped.png
e07eb8ff-650d-4883-b9aa-ef330008f744,SATVA SILVER,"Satva Silver is a premium silver jewelry and fine silverware manufacturing company dedicated to the pursuit of perfection. We specialize in an end-to-end crafting process, maintaining uncompromising quality control from the initial melting of high-grade silver to the intricate detailing performed by our master craftsmen. By bridging the gap between traditional silversmithing and modern operational efficiency, Satva Silver delivers pieces of unparalleled elegance, purity, and structural integrity to our esteemed clients. Our Mission To craft exquisite, high-quality silver jewelry that marries traditional artistry with modern precision. We are committed to providing our clients with timeless, premium pieces that celebrate elegance while maintaining absolute transparency and purity in our manufacturing process. Our Vision To be the industry's most trusted and prestigious manufacturer of fine silver jewelry, recognized globally for our uncompromising quality, dedicated artisan partnerships, and timeless design. We strive to set the gold standard in the silver manufacturing industry. Our History & Heritage Founded byz Sanidhya and Nishant Taliwal, Satva Silver was established with a clear vision: to elevate the standards of silver manufacturing by integrating modern management with heritage craftsmanship. What began as a passion for fine jewelry has evolved into a highly structured operation. By building custom, modernized systems to manage our workflows, we have optimized our entire supply chain. This meticulous organization ensures seamless coordination between our raw material processing, our artisan workshops, and our final client deliveries, allowing the artistry of our silversmiths to take center stage. Unique Aspects of Our Business End-to-End In-House Manufacturing: We oversee the entire lifecycle of our jewelry. By strictly managing the melting and refining processes ourselves, we guarantee the baseline purity of every piece before it even reaches the artisan's bench. Empowered Master Artisans: Our creations are brought to life by dedicated, highly skilled artisans. We provide them with a structured, supportive environment where their traditional techniques can thrive alongside modern quality standards. Technological Precision: Behind our artisanal craft lies a highly modernized operational backbone. We utilize custom-tailored, data-driven systems to track our manufacturing modules, artisan outputs, and client relationships, guaranteeing exceptional reliability and on-time delivery.",AYLPT1140K,Goods,2025,Agra,Uttar Pradesh,"Agra, Uttar Pradesh, India",0,43,43,Gems and Jewellery Products,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260815T110739Z-898776-55f50579-Stva%20Logo-cropped.png
7ebf9843-535f-49d3-9f96-abe13db032d6,AB INTERNATIONAL,"Company Profile
Proprietor
Name: Premjeet Kumar Sinha
Firm Details
•	Firm Name: AB International
•	Type: Proprietorship
•	Established: 2024 (1 year old)
•	Location: Thane, Maharashtra, India
Brand
•	Brand Name: JOHN BERRY
•	Industry: Leather Goods
•	Products: Premium leather goods including wallets, belts, bags, and accessories
•	USP: High-quality craftsmanship, modern designs blended with durability
Background of Proprietor
Premjeet Kumar Sinha has extensive professional experience, having worked with reputed companies such as TATA and Bhushan Steel Ltd. This background has provided him with strong expertise in operations, management, and quality assurance, which he now channels into building AB International and its flagship brand JOHN BERRY.
Vision
To establish JOHN BERRY as a trusted and globally recognized brand in leather goods, known for its superior quality, innovative designs, and customer satisfaction.
Mission
•	Deliver premium leather products that combine tradition with modern style.
•	Ensure customer satisfaction through quality, affordability, and reliability.
•	Expand market presence both domestically and internationally.
Core Values
•	Quality: Commitment to excellence in every product.
•	Integrity: Transparent and ethical business practices.
•	Innovation: Continuous improvement in design and functionality.
•	Customer Focus: Building long-term relationships through trust and satisfaction.
Future Goals
•	Expand product portfolio to include luxury leather collections.
•	Strengthen online presence and e-commerce channels.
•	Explore international markets, especially in the US and Europe.
•	Collaborate with distributors and retailers for wider reach.
________________________________________
AB International is driven by passion, precision, and professionalism, aiming to make JOHN BERRY a household name in premium leather goods.

my name is PREMJEET KUMAR SINHA My proprietorship firm name is AB INTERNATIONAL , it is one year old company, I have Brand of Leather Goods which name is JOHN BERRY, Earlier I have worked in a reputed company like TATA, Bhushan Steel Ltd. kindly create company profile
There are two Division under AB International(1) Leather Goods Division (2) Food Products Division",APMPK7260B,Goods,2025,Thane,Maharashtra,"Thane, Maharashtra, India",0,41,41,Leather Products,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260720T155708Z-896574-7c27a220-AB%20INTERNATIONAL%20LOGO-cropped.png
b958eb7c-1ee3-4165-85fe-5ba637bae9e0,ENGLISH CREATIONS CRAZE,"ECC Exports is a trusted wholesale manufacturer and exporter specializing in premium fashion accessories and lifestyle products. We offer a diverse range of scarves, shawls, stoles, kaftans, kimonos, pareos, sarongs, towels, beachwear, and bags crafted with quality, style, and global market trends in mind. With a strong commitment to craftsmanship, timely delivery, and customer satisfaction, we serve buyers across international markets with customized designs, competitive pricing, and reliable export solutions. Our focus is to deliver elegant, high-quality products that combine fashion, comfort, and functionality for retailers, wholesalers, and global brands.",1205000178,Goods,2005,Amritsar,Andaman and Nicobar Islands,"Amritsar, Andaman and Nicobar Islands, India",0,36,36,Textile & Apparel Products,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F800455266-English-Creations-Craze-Manufacturer-Logo.jpg
3aa6f380-5ced-47a5-905d-81e731bd99b3,Kajar India Exports,"We are dealing in Agro commodities (Rice, Spices, Tea, Coffee. Quinoa, Lentils) Textiles (T-shirts, shirts, Towels, Socks, Jackets) Jute bags, leather articles, Charcoal and much more.. ",AIQPC2078N,Both goods and services,2022,Greater Noida,Uttar Pradesh,"Greater Noida, Uttar Pradesh, India",0,23,21,Agricultural or Allied Products,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F116078377-Logo%20-%20Copy.jpg
562df709-5b9d-493e-8ef4-a27467307798,ZI JIBLA VENTURES PRIVATE LIMITED,"The Premium Basket is a premium food brand offering dry fruits, nuts, seeds, makhana, dates, nut butters, and gourmet snacks, with a focus on quality and premium products.",AACCZ6023H,Goods,2025,Thane,Maharashtra,"Thane, Maharashtra, India",0,29,29,Food Products,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260811T094147Z-652075-5da2fb59-5-TPB_Blue%20(1)-cropped.png
