faq_id,question,answer,category,display_order,target_audience
54dacaee-166e-4dc3-8336-b886e2752ad2,What do I need to start the exporter registration process?,"You need valid IEC code, a copy of the IEC certificate, business identity documents, and details of authorised personnel.",Exporters,10,SUPPLIER
704e06ba-8f09-4c0d-ba7b-7bd23a86d820,What is required for importer registration?,You need a valid EIN number and a copy of the EIN certificate to register as an importer.,Importers,10,BUYER
c0e662fa-6163-4f55-be89-715464c465c7,Who can register on the India-US Trade Facilitation Portal?,Indian exporters (Suppliers) and US-based importers (Buyers) can register on the India-US trade facilitation portal.,General Questions,10,ALL
07cacef3-5ab0-443c-b583-a138e366501c,How does EIN verification work?,The system uses OCR to auto-validate the EIN certificate.,Importers,20,BUYER
29cda61d-afe4-4b87-821a-d8ce379af98f,Is there any fee to register on the portal?,"No, registration and use of features of the E-Trade Portal are completely free for both Indian exporters and US-based importers.",General Questions,20,ALL
f38d2663-eed8-4bb4-b784-1aa789c92c04,How is my business verified as an exporter from India?,"Once you enter your IEC code and upload the IEC certificate, the system automatically validates it instantly using system checks.",Exporters,20,SUPPLIER
4a09975c-fee5-48af-9525-8e29eef7e986,Is institutional approval required for importers?,"No. Importer accounts are activated after email and mobile verification. However, they can enter name of the Chamber/Association in which they have membership.",Importers,30,BUYER
6458227c-7c2c-4b40-9f80-8789b9bc4bdf,Can I register without completing all mandatory fields?,No. All mandatory fields and documents are required to register on the portal.,General Questions,30,ALL
fc24c095-5881-4545-928b-242a78cb7cb6,Which documents are mandatory for exporters?,"Exporters are required to upload their IEC Certificate, GST Registration Certificate, Certificate of Incorporation, and copy of PAN Card to verify their business identity. You may also upload additional documents, such as ISO certification, BIS compliance document, FASSAI certificate or any other document, if required.",Exporters,30,SUPPLIER
0609b72c-3ef3-4a46-b808-b67673268de8,Why is Aadhaar required for authorised personnel?,Aadhaar is used for identity verification. The system auto-verifies Aadhaar to ensure authenticity.,Exporters,40,SUPPLIER
6d101c14-29c2-4416-b4ec-c50b43c4ff7e,Is two-step authentication mandatory?,Yes. Two-step authentication is enabled for all users to ensure account security.,General Questions,40,ALL
acb83856-8943-44c5-86ca-a80494844cbb,What happens after I submit my exporter registration details?,"Your profile is sent to the selected industry body (Chamber of Commerce/Association/EPC) with whom you have a membership, for verification. Once approved, you will receive a confirmation email.",Exporters,50,SUPPLIER
e9d1d2bd-7448-4e61-8684-aa60c9b5c69f,"What are recovery codes, and when do I receive them?",Recovery codes are backup login codes sent via email after registration approval or account activation. They help you access your account if you lose access to your primary authentication method.,General Questions,50,ALL
2dfcaf07-947a-4729-a347-60e32de519bf,How long does exporter approval take?,Approval time depends on the industry body verifying your membership. You will be notified via email once approved.,Exporters,60,SUPPLIER
57339b7c-c353-4c30-b4a0-8a136ef97447,Can I change my password later?,Yes. You can reset your password at any time using the portal's password recovery feature.,General Questions,60,ALL
26cdcd23-3fa8-4f5c-b13c-3fedc77e5d1e,How secure is my data on the India-US Trade Facilitation Portal?,"The portal uses industry-standard security practices, including HTTPS, JWT authentication, role-based access control, data encryption, regular security audits, and compliance with applicable data protection regulations. All sensitive documents are stored securely.",General Questions,70,ALL
72643e6d-3f92-441d-9cd2-57f1a7ea05a2,How does exporter verification work?,The nodal officer reviews the exporter's membership and submitted documents. Documents passing OCR checks are marked Verified. Mismatches are manually reviewed against originals.,Exporters,70,SUPPLIER
5a0c51cb-6e74-48e5-adc1-5074a859cc14,What if my business documents are rejected?,"If documents are mismatched or unclear, the profile may be flagged for correction or resubmission.",Exporters,80,SUPPLIER
5cc55caf-0e28-4395-bc1b-a6546b4def61,Who should I contact for assistance?,"For any issues with registration, verification, or login, please contact our support team at support@indiausatrade.mea.gov.in.",General Questions,80,ALL
ce1dd512-6d6d-4c36-a049-f9a96452870b,Will the payment be done using the portal after a deal is finalised using the portal?,"No, after the deal is finalised using the portal, the financial transaction will be done outside the portal as per the convenience of the buyer and seller.",General Questions,90,ALL
faf5e9e4-33b4-47d9-9526-149479fb4dac,Who can upload products on the portal?,Only registered and approved exporters can upload products on the India-US Trade Facilitation Portal.,Exporters,90,SUPPLIER
65e91c19-361e-42a8-b8f3-e0e64920deb3,How the feedback mechanism will work? Is it mandatory to provide a feedback?,"The feedback is not mandatory, however, the sellers and buyers feedbacks will be considered to decide their visibility on the portal. E.g. the sellers/buyers having higher rating will be marked at the beginning of the recommended list. Also, the feedbacks will help buyers and sellers in decision making, as they can get an idea about the particular buyer/seller through feedbacks.",General Questions,100,ALL
6c4a7d66-23ca-4cb0-b7ae-e4c95cbd6955,Can I upload products individually and in bulk?,Yes. You can add products one by one or use the Bulk Product Upload option for uploading multiple products at once.,Exporters,100,SUPPLIER
7e575e2e-7253-4edf-95a4-517f59c9aa11,What file format is accepted for bulk upload?,Only a ZIP file is accepted for bulk product upload.,Exporters,110,SUPPLIER
8c785cf0-72e0-4352-9b32-1f27fe190c19,How will the virtual exhibitions be organised?,The virtual exhibitions will be organised sector-wise on specific dates with advance publicity so that interested persons can attend. Proposals to organise virtual exhibitions can be initiated by industry bodies and states.,General Questions,110,ALL
e69fff60-ff7b-4f32-9b72-c5f1e29ce9e7,"If there is any trade/commercial dispute regarding payments or quality of products, how to handle the same?","Foreign Missions support in getting both the parties involved in the dispute connected and resolve the issue mutually, but if that does not happen then commercial disputes can be handled by way of legal recourse. (It is requested to read the Disclaimer on the homepage).",General Questions,120,ALL
cd4ce838-4459-4a85-bd33-e2e2dbb27211,How to get information about HSN or export procedure etc.?,The portal provides links to educational material and other important information regarding procedure and HSN etc. The same can be referred to.,General Questions,130,ALL
