buyer_id,company_name,company_description,ien_code,incorporated_in,city,state_name,location,profile_views,total_inquiries_sent,industry_category,profile_completion_percentage,open_rfqs,logo_url
41e41df7-7c0b-4cf0-86ab-7f8f787206de,4RCE logistics inc,,81-4132786,26-04-2026,Beaumont,California,"Beaumont, California, United States",0,0,Transport and Logistics Service,54,0,
75ee798d-0dc4-44c0-9fc7-038cab93955d,BulkMagic LLC,,99-4522418,03-04-2026,Newyork,New York,"Newyork, New York, United States",0,0,Agricultural or Allied Products,54,0,
c2ab27e1-fe54-4d19-9c1d-00533760f9ff,Ayra Ventures LLC,,93-2805023,15-04-2026,Bradenton,Florida,"Bradenton, Florida, United States",0,0,Handicrafts,54,0,
c031630f-40f0-4f16-9542-dfa159418808,Luminocity,,39-4535788,30-04-2026,Aurora,Illinois,"Aurora, Illinois, United States",0,0,Handicrafts,54,0,
e689173f-ff5f-43fc-9435-f90e3db434f2,Anafab LLC,,99-1314795,10-04-2026,Austin,Texas,"Austin, Texas, United States",0,0,Miscellaneous Products,54,0,
fcbc6a1a-c8e6-4199-b346-8793571c24fe,Zenmed Solutions Inc,,,26-04-2001,Pomona,California,"Pomona, California, United States",0,0,"Healthcare Services including services by nurses, physiotherapist and paramedical personnel",56,0,
849299f9-5fc4-433b-8a49-c47f4d1ec5f2,Global Natural Resources,,,08-04-2026,Lincolnshire,Illinois,"Lincolnshire, Illinois, United States",0,0,Wholesale Trade Services,56,0,
7fefe5c7-ca35-457e-bbf2-ffd3c339a531,DeeBeCon Inc,,,05-10-2021,Nashua,New Hampshire,"Nashua, New Hampshire, United States",0,0,Information Technology (IT & ITES) Services,56,0,
8d6d4c61-9f5c-4484-8e92-688ba06b88b1,Diamour Inc.,,68-0521641,03-04-2026,New York,New York,"New York, New York, United States",0,0,Gems and Jewellery Products,81,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260720T185018Z-890764-9277bfd8-diamour%20logo%20colour%20smaller-cropped.png
af931472-f8ae-48fb-925d-64660b09a628,Global Import Solutions LLC,,,15-03-2026,Miami,Florida,"Miami, Florida, United States",0,0,"Automobiles, Aircrafts and Other Transport Equipment",55,0,
614b1503-5f5f-46c6-84ea-d8a24a34f3d0,SANTHIGRAM KERALA AYURVEDIC CO. OF US INC,,20-5088727,05-04-2026,Edison,New Jersey,"Edison, New Jersey, United States",0,0,"Healthcare Services including services by nurses, physiotherapist and paramedical personnel",54,0,
9bc9b517-9724-404f-9a31-de04c7a7dfbc,Virya LLC,"Importer , compliance and supply chain consultancy",92-3690326,2023,Kirkland,Washington,"Kirkland, Washington, United States",0,0,Agricultural or Allied Products,85,0,
9cf76e38-d391-4495-a7dc-4d7a05a532d0,SRKLLC,,,27-07-2020,Maple Valley,Washington,"Maple Valley, Washington, United States",0,0,Food Products,75,0,
17d810a6-431b-41bd-9fa3-c4336eabbbd7,Applied Textiles,,38-3046028,15-04-2026,Byron Center,Michigan,"Byron Center, Michigan, United States",0,0,Distribution Services,54,0,
ca079aee-6cb5-49ea-8b09-1a9650bdbda2,AdMark Solutions LLC,,20-4593185,09-04-2026,Splainfield,New Jersey,"Splainfield, New Jersey, United States",0,0,Advertising Services,54,0,
8dafcc72-a04b-48ed-a8d9-9118aee70288,Soul Lumos LLC,,99-3633890,11-04-2026,98059,Washington,"98059, Washington, United States",0,0,"Healthcare Services including services by nurses, physiotherapist and paramedical personnel",53,0,
297e5cc1-39a6-460a-b624-096ea608be78,RELIANCE SERVICE,,20-1741458,02-08-2026,Skokie,Illinois,"Skokie, Illinois, United States",0,0,Food Products,75,0,
72593ef2-57e6-42c4-9c82-da5f0af397ee,JEEVAM LLC,,39-2932882,27-08-2026,Santa Clara,California,"Santa Clara, California, United States",0,0,Food Products,73,0,
8bfc233f-d7d2-4e56-862d-a9c6a6ad17aa,TechEra Engineering (USA) Inc.,,39-3622321,02-04-2026,Atlanta,Georgia,"Atlanta, Georgia, United States",0,0,Engineering Products,54,0,
93295349-3105-477e-89b7-76a0ff0f81ca,iMETAL L.L.C.,,93-2807639,09-04-2026,Avenel,New Jersey,"Avenel, New Jersey, United States",0,0,Metal & Articles of Metal,54,0,
21477e28-e2ef-455c-b8b4-da40275b5b8b,"Real Gems, Inc.",,13-2807436,06-04-2026,Newyork,New York,"Newyork, New York, United States",0,0,Gems and Jewellery Products,54,0,
e9510aab-ebca-44b2-b284-d63d732c6d9f,BRJU InfoSec Inc,,99-1142587,08-04-2026,Westmont,Illinois,"Westmont, Illinois, United States",0,0,Information Technology (IT & ITES) Services,54,0,
4f476767-ef6a-43cf-a8ed-b5c6573a079d,Creative Mithila LLC,,82-2175821,15-04-2026,Edison,New Jersey,"Edison, New Jersey, United States",0,0,Handicrafts,54,0,
2c3baa4f-ce9f-45ad-9594-64693ef59128,Prime CargoPeople Logistics Corp,,88-2318570,08-04-2026,Lewes,Delaware,"Lewes, Delaware, United States",0,0,Transport and Logistics Service,54,0,
f6f22598-64eb-4261-b332-c90cda5278d9,HUDSON IMPERIAL TRADING LLC,,93-3304309,10-04-2026,Princeton,New Jersey,"Princeton, New Jersey, United States",0,0,General Trading,54,0,
3da1c8a6-6061-4091-9703-737515ef7b2b,VPSONS INC,,27-2542975,06-04-2026,New York,New York,"New York, New York, United States",0,0,Gems and Jewellery Products,53,0,
ece67a56-d747-4b93-ad80-2f217722b57b,C2FOR CONSULTING LLC,,41-3994980,30-04-2026,Avon,Ohio,"Avon, Ohio, United States",0,0,"Automobiles, Aircrafts and Other Transport Equipment",53,0,
bf6e553d-6632-443e-8a29-54d291ebc4d1,JSJ IMPORTS LLC,,81-2484977,03-08-2026,Guildhall Dr.,Virginia,"Guildhall Dr., Virginia, United States",0,0,Food Products,75,0,
56b44095-6d18-4c3e-a9d8-79e426661458,Radiant Retail LLC,,41-4541034,27-05-2026,Cumming,Georgia,"Cumming, Georgia, United States",0,0,Electronic Products,75,0,
c8c3b2f3-6c7c-49c0-80af-3f43b0147e6f,GREAT DIAM INC,,84-2833314,06-04-2026,Ny,New York,"Ny, New York, United States",0,0,Gems and Jewellery Products,54,0,
6d59417d-59f7-4ce8-814f-b836358e5e28,Nature’s Craft inc,,,08-08-2018,Rutherford,New Jersey,"Rutherford, New Jersey, United States",0,0,Gems and Jewellery Products,56,0,
1b948a9a-c60c-49d9-bc99-ae918913e160,Alphabet Solutions LLC,,33-3080191,07-04-2026,Rutherford,New Jersey,"Rutherford, New Jersey, United States",0,0,Consultancy Services,53,0,
356643df-9d90-4020-832c-dfdcd795f37f,Prime FFE USA,,99-0522481,06-04-2026,Jerseycity,New Jersey,"Jerseycity, New Jersey, United States",0,0,Construction and Related Engineering Services,54,0,
b71911c5-a062-4a57-bcb2-c277cbe601fc,Royal India USA,,46-4822071,07-04-2026,New York,New York,"New York, New York, United States",0,0,Gems and Jewellery Products,54,0,
acb88df0-436f-4b49-8346-695b1425edc7,Aero Science International LLC,,83-2233784,18-06-2026,Martinez,Michigan,"Martinez, Michigan, United States",0,0,Education Services,75,0,
3f3c6146-28db-4cc7-bb6a-a77bfaf28ad6,Purple Peak Ventures LLC,,99-1312874,03-04-2026,Sugar Land,Texas,"Sugar Land, Texas, United States",0,0,Others (Goods),53,0,
15bac9b5-ed98-47f2-947e-a5202a7bd55a,Glow Far Services and Trading LLC,,41-2943416,12-05-2026,Cypress,Texas,"Cypress, Texas, United States",0,0,Wholesale Trade Services,62,0,
b57120eb-b0b3-41f3-87fa-496736e889f8,Mandava Traders Corporaion,,46-5513666,27-04-2026,Irving,Texas,"Irving, Texas, United States",0,0,Agricultural or Allied Products,53,0,
6904483b-3a67-4e9e-bb37-4bd70c15f89d,Texind Inc,,13-4076040,07-04-2026,Hanover,New Jersey,"Hanover, New Jersey, United States",0,0,Wholesale Trade Services,54,0,
8b8a3f48-6d07-44c3-87c2-d001ebbe9820,SURINENI LLC,,,18-09-2023,Memphis,Tennessee,"Memphis, Tennessee, United States",0,0,General Trading,81,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260720T165432Z-404768-e90f9e07-Hari_profile-cropped.png
d937179c-d600-4fda-a750-58d9568a6392,SKYTECH SERVICES INC,,82-3875985,08-04-2026,Piscataway,New Jersey,"Piscataway, New Jersey, United States",0,0,Information Technology (IT & ITES) Services,54,0,
10f8426e-48c8-4add-ad08-8d64fdfc26a4,"Nimisha Shukla, M.D., P.A. DBA 7 Days Pediatrics","The Best Pediatric team in Edison, South Plainfield, Fords, Woodbridge, Iselin, Perth Amboy, and surrounding areas since 1997",22-3759996,11-05-2026,Edison,New Jersey,"Edison, New Jersey, United States",0,0,"Healthcare Services including services by nurses, physiotherapist and paramedical personnel",67,0,
83c87675-47db-404a-9eac-92c59f3f75fe,Provise Garrety Global LLC,,41-2866641,08-04-2026,Baton Rouge,Louisiana,"Baton Rouge, Louisiana, United States",0,0,"Accounting, Bookkeeping and Consultancy Services",81,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260615T040102Z-219115-ea6296bd-Logo%20with%20Company%20name%20(Small)-cropped.png
f009c042-ddd0-4c41-8d31-66bf212b1e2b,GLOBEDECOR INTERNATIONAL,,92-2177860,18-08-2026,Torrance,California,"Torrance, California, United States",0,0,Handicrafts,75,0,
9df929db-a1ce-47d8-b35f-a63fca76de88,Krishil Corporation,We are importers of quality food products for the south asian community in USA,82-4276902,2018,Coppell,Texas,"Coppell, Texas, United States",0,0,General Trading,74,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F920570137-Krishil_logo.jpg
356b1358-7ef3-433a-aeb3-ec3e2be57e1f,ReyD Global Logistics,"ReyD Global provides reliable and efficient freight services across the globe. We specialize in coordinating shipments from origin to destination with a focus on timely delivery, cost efficiency, and personalized customer service.",33-2400733,04-05-2026,Nbrunswick,New Jersey,"Nbrunswick, New Jersey, United States",0,0,Transport and Logistics Service,79,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260523T133038Z-977135-d4be41c9-Logo%20(1)-%20Compressed-cropped.png
c019d4c7-9bf9-488d-a34e-9511029b8892,KRISTI CORPORATION USA,,,22-04-2021,Piscataway,New Jersey,"Piscataway, New Jersey, United States",0,0,Chemicals or Allied Products,77,0,
f0e6a308-40e2-4743-a41b-e8e657283e2c,Delaware,,,22-01-2026,Ferndale,Washington,"Ferndale, Washington, United States",0,0,Chemicals or Allied Products,56,0,
f52064fb-5eb8-4a60-b3f4-0cfe168717a1,Karos LLC,,92-1460698,13-04-2026,Sheridan,Wyoming,"Sheridan, Wyoming, United States",0,0,Wholesale Trade Services,54,0,
02e09c89-f21e-4b56-9a5e-4e6efe5a170b,United Impex LLC,,33-4860251,27-05-2026,Monmouth Junction,New Jersey,"Monmouth Junction, New Jersey, United States",0,0,Food Products,73,0,
0cf98813-2dd0-433d-967c-553dec16c715,YERI,,99-2494285,20-07-2026,New York City,New York,"New York City, New York, United States",0,0,Food Products,75,0,
77008761-da6f-48ad-9aa7-db380e1263c2,New York Business Advisory & Corporate Services In,,85-0793287,14-04-2026,New York,New York,"New York, New York, United States",0,0,"Accounting, Bookkeeping and Consultancy Services",54,0,
2d8d93aa-8d78-4c27-ad75-9a2f6f032d6f,FreightX Shipping Inc,,99-2330173,29-05-2026,Franklin,Tennessee,"Franklin, Tennessee, United States",0,0,Transport and Logistics Service,75,0,
d68e2c1a-31b7-41ac-8bc0-d1d1c9fe52de,INNER PLANE,,85-2187562,29-05-2026,Rego Park,New York,"Rego Park, New York, United States",0,0,Gems and Jewellery Products,73,0,
699ed722-449e-437b-84fc-3c35f38fbbbe,Smitha Deepak LLC,,87-2039246,29-05-2026,Danville,California,"Danville, California, United States",0,0,Others (Goods),73,0,
38996d22-0a07-41aa-abdc-281f9f1563cb,LUXINE LEATHER GOODS LLC,,41-3681893,06-07-2026,Foxborough,Massachusetts,"Foxborough, Massachusetts, United States",0,0,Leather Products,75,0,
f196916b-d037-496d-9eae-7d25bd8441c6,BRJU ImpEx LLC,,61-2157862,08-04-2026,Westmont,Illinois,"Westmont, Illinois, United States",0,0,Food Products,54,0,
4e571347-aa00-4192-aae9-a6a21531205b,VIHAA APPARELS LLC,,92-2038592,10-05-2026,Woodbridge Township,New Jersey,"Woodbridge Township, New Jersey, United States",0,0,Textile & Apparel Products,81,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260629T113437Z-186096-25e13968-Vidarsha_logo-cropped.png
35d76b02-ffb9-485d-9c0f-06683e4c7479,Samsar Merchandise LLC,,83-2755022,23-04-2026,Media,Pennsylvania,"Media, Pennsylvania, United States",0,0,General Trading,81,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260530T012320Z-225967-f1078ee3-SportsCheckoutSponsorshipLogo-cropped.png
c63474ad-d773-4c90-bf3e-3ff26f211bb7,DIRECT source from factory LLC,,41-4284505,10-04-2026,Anderson,South Carolina,"Anderson, South Carolina, United States",0,0,Metal & Articles of Metal,54,0,
156fb854-b35f-4613-9d9f-44a448e05880,Smart Blinds LLC,"Smart Blinds™ is reinventing the window treatment. Our AI custom-matches every blind to your home's climate and light. Our patent-pending BlindsGuard Pro™ goes further — a security camera, AI monitor, and fall detector hidden inside the roller blind itself, replacing the cluttered devices in your home with one elegant solution. On-device AI keeps your video private. Hidden lens, elevated angle, on every window that matters. Custom-built. Free shipped. Made for safer homes and smarter living.",93-2975068,2023,Redmond,Washington,"Redmond, Washington, United States",0,0,Others (Goods),79,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F746310138-High%20resolation%20logo-03.jpg
39748cf1-0904-4004-a6d7-22f0ffb27b0c,Prak Technologies LLC,,81-4227116,08-05-2026,Ashburn,Virginia,"Ashburn, Virginia, United States",0,0,Food Products,64,0,
af5dc994-6c07-4319-9d32-df47ec367679,Manam Philly LLC,,82-5517873,23-04-2026,Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania, United States",0,0,Retail Trade Services,54,0,
d5808ad1-3e63-442b-9649-459e89a96c8d,"VHC Brands, Inc",,,19-03-2026,Branson,Missouri,"Branson, Missouri, United States",0,0,Textile & Apparel Products,56,0,
d6834eaf-2cf9-4ad5-9c17-78da0b6ce365,Westex Group,,52-1312303,09-04-2026,Rockville,Maryland,"Rockville, Maryland, United States",0,0,Others (Goods),54,0,
e6aa3e5f-afa3-4989-83b0-51c75dda0aed,Selltivity,,33-3242850,27-05-2026,Dallas,Texas,"Dallas, Texas, United States",0,0,Retail Trade Services,73,0,
99b6cda8-70c3-4f56-93e3-114a4f62c325,METHODIC LLC,,,03-01-2023,Ashburn,Virginia,"Ashburn, Virginia, United States",0,0,Education Services,56,0,
8b998072-c22a-42a6-8e88-efc53c0409d8,OSR SALES LLC,,47-3971171,10-04-2026,Edison,New Jersey,"Edison, New Jersey, United States",0,0,Wholesale Trade Services,54,0,
a285a9be-d05f-47f1-a8f9-8cbe2f80ab3a,Honorex Technologies LLC,,92-2076289,27-05-2026,Maple Valley,Washington,"Maple Valley, Washington, United States",0,0,Consultancy Services,75,0,
3bc15f81-63d6-43b0-8fa5-ea9ddb33cd75,Cotton King Exports LLC,"We are a U.S.-based company supplying high-quality U.S. Soybean Meal for export to India.

We are looking to connect with reliable Indian buyers/importers, including feed mills, poultry companies, dairy companies, and animal nutrition companies interested in purchasing U.S. Soybean Meal.

If any Indian company is interested in sourcing Soybean Meal from the USA, please contact us. We can provide product specifications, COA, pricing, and shipping details.

We are ready to supply in bulk quantities and build long-term business relationships with Indian buyers.",39-4113120,16-08-2026,Jonesboro,Arkansas,"Jonesboro, Arkansas, United States",0,0,Agricultural or Allied Products,82,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260831T191012Z-373018-86a01221-4C59B38A-BDBB-4CDD-A5F9-3E165292F06C-cropped.png
c6474534-aee8-47b4-b36f-cd062eb0e179,KEYUR KANTILAL RUPAREL,"Acevion LLC is a Houston, Texas based trading and sourcing company specializing in import-export services, freight coordination, product sourcing, and international trade facilitation between India and the USA. We help businesses connect with reliable suppliers, manufacturers, and buyers across multiple industries with a focus on quality, transparency, and efficient global trade solutions.”",,02-05-2026,Houston,Texas,"Houston, Texas, United States",0,0,General Trading,81,0,http://indiausatrade.mea.gov.in/api/public/image/stream?key=profile-logos%2F20260525T072914Z-383830-3be7316b-51bc7089-f303-4dad-a946-84c23615f152-cropped.png
