event_id,title,description,organizing_institute,start_date,end_date,location,event_mode,image_url,exhibitor_registration_link,attendee_registration_link,is_active
b5fd33e7-2ab6-4c24-8ef8-f0d8ff819b69,Travel & Adventure Show 2027,Upcoming trade event card from Discover page.,,2027-01-23,2027-01-24,Jacob Javits Center Hall 3DE,PHYSICAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260616T204837Z-297118-fbf63017-Travel%20Show%202027.jpg,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
07381881-9724-4711-82e3-2d5fc709412c,Indo Collective,Upcoming trade event card from Discover page.,,2026-06-01,2026-07-31,"Franklin Park, New Jersey",PHYSICAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260702T194447Z-719530-b99e26aa-Indo%20Collective%202026.png,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
80d9f14f-29a5-44f6-b71a-c43a2a0a1fd5,"India–US Roundtable on Trade Opportunities in Software, IT & AI Services",Past trade event highlight card from Discover page.,"Consulate General of India, New York",2026-04-07,2026-04-07,"Consulate General of India, New York",PHYSICAL,https://indiausatrade.mea.gov.in/events/india-us-software-services-trade-roundtable-card.png,,,1
a72af068-4113-40c5-9986-1b5586baf130,"""TexTech: The Canvas & The Consulate General of India"" – Roundtable on Indian Textiles",Past trade event highlight card from Discover page.,"Consulate General of India, New York",2026-04-02,2026-04-02,"Consulate General of India, New York",PHYSICAL,https://indiausatrade.mea.gov.in/events/figma-trade-event-card-55087-787a2c.png,,,1
b1c0ddc5-1968-4edb-a12b-486217397d41,Travel & Adventure Show 2026,Past trade event highlight card from Discover page.,,2026-01-24,2026-01-24,"Jacob Javits Center, New York",PHYSICAL,https://indiausatrade.mea.gov.in/events/event-card-3.png,,,1
442f5f8e-c1b2-4cf2-9482-2a63e4941677,Coffee Fest 2026,Past trade event highlight card from Discover page.,,2026-03-08,2026-03-10,"Jacob Javits Center, New York",PHYSICAL,https://indiausatrade.mea.gov.in/events/figma-trade-event-card-55090-139f37.png,,,1
